SA22026_code,SA22026_name,TA2026_code,TA2026_name
332301,Inlets other Christchurch City,060,Christchurch City
316401,McLeans Island,060,Christchurch City
322400,Deans Bush,060,Christchurch City
323200,Mona Vale,060,Christchurch City
323300,Riccarton West,060,Christchurch City
324200,Riccarton Central,060,Christchurch City
324400,Riccarton South,060,Christchurch City
325200,Riccarton East,060,Christchurch City
325500,Tower Junction,060,Christchurch City
326400,Addington North,060,Christchurch City
326100,Addington West,060,Christchurch City
322000,Upper Riccarton,060,Christchurch City
323500,Middleton,060,Christchurch City
321000,Sockburn North,060,Christchurch City
320400,Hornby Central,060,Christchurch City
319800,Riccarton Racecourse,060,Christchurch City
322300,Sockburn South,060,Christchurch City
322500,Wigram North,060,Christchurch City
321901,Awatea North,060,Christchurch City
322800,Wigram West,060,Christchurch City
321102,Branston,060,Christchurch City
326301,Oaklands East,060,Christchurch City
324300,Oaklands West,060,Christchurch City
328001,Halswell South,060,Christchurch City
329002,Halswell South East,060,Christchurch City
325000,Hillmorton,060,Christchurch City
325400,Aidanfield,060,Christchurch City
324700,Broken Run,060,Christchurch City
326701,Hoon Hay West,060,Christchurch City
327301,Halswell North,060,Christchurch City
327700,Hoon Hay East,060,Christchurch City
330000,Westmorland,060,Christchurch City
329500,Hoon Hay South,060,Christchurch City
331600,Port Hills,060,Christchurch City
329001,Kennedys Bush,060,Christchurch City
319300,Hei Hei,060,Christchurch City
318700,Broomfield,060,Christchurch City
320300,Hornby West,060,Christchurch City
319101,Islington-Hornby Industrial,060,Christchurch City
321101,Hornby South,060,Christchurch City
316700,Christchurch Airport,060,Christchurch City
316500,Paparua,060,Christchurch City
316600,Yaldhurst,060,Christchurch City
318100,Templeton,060,Christchurch City
318200,Islington,060,Christchurch City
317100,Brooklands-Spencerville,060,Christchurch City
317201,Styx,060,Christchurch City
318401,Marshland,060,Christchurch City
318600,Redwood North,060,Christchurch City
318402,Burlington-Oakbridge,060,Christchurch City
321600,Waitikiri,060,Christchurch City
324001,Burwood North,060,Christchurch City
323700,Queenspark,060,Christchurch City
325100,Parklands,060,Christchurch City
326000,Waimairi Beach,060,Christchurch City
321302,Prestons Park,060,Christchurch City
324600,Shirley East,060,Christchurch City
325601,Burwood South,060,Christchurch City
321701,Mairehau North,060,Christchurch City
323400,Shirley West,060,Christchurch City
319600,Redwood East,060,Christchurch City
320501,Northcote (Christchurch City),060,Christchurch City
320900,Papanui East,060,Christchurch City
319400,Papanui North,060,Christchurch City
317900,Casebrook,060,Christchurch City
320000,Northlands (Christchurch City),060,Christchurch City
318800,Redwood West,060,Christchurch City
317600,Regents Park,060,Christchurch City
317301,Belfast East,060,Christchurch City
316900,Belfast West,060,Christchurch City
317400,Northwood,060,Christchurch City
319900,Bryndwr North,060,Christchurch City
320800,Bryndwr South,060,Christchurch City
320600,Jellie Park,060,Christchurch City
319200,Burnside,060,Christchurch City
318300,Burnside Park,060,Christchurch City
317501,Burnside West,060,Christchurch City
319000,Bishopdale South,060,Christchurch City
318000,Bishopdale West,060,Christchurch City
317000,Harewood,060,Christchurch City
317800,Bishopdale North,060,Christchurch City
316800,Clearwater,060,Christchurch City
318501,Avonhead North,060,Christchurch City
318901,Avonhead West,060,Christchurch City
317701,Russley,060,Christchurch City
319500,Avonhead East,060,Christchurch City
319700,Avonhead South,060,Christchurch City
320200,Ilam North,060,Christchurch City
320700,Ilam South,060,Christchurch City
321200,Ilam University,060,Christchurch City
322700,Wharenui,060,Christchurch City
321800,Bush Inn,060,Christchurch City
322600,Holmwood,060,Christchurch City
321500,Fendalton,060,Christchurch City
330300,Cashmere West,060,Christchurch City
331300,Cashmere East,060,Christchurch City
331200,Huntsbury,060,Christchurch City
330800,St Martins,060,Christchurch City
331900,Heathcote Valley,060,Christchurch City
331400,Hillsborough (Christchurch City),060,Christchurch City
332000,Mount Pleasant,060,Christchurch City
331700,South New Brighton,060,Christchurch City
330200,New Brighton,060,Christchurch City
328300,Rawhiti,060,Christchurch City
326200,Ōtakaro-Avon River Corridor,060,Christchurch City
327200,North Beach,060,Christchurch City
329300,Linwood East,060,Christchurch City
330400,Bromley South,060,Christchurch City
328400,Wainoni,060,Christchurch City
329800,Bexley,060,Christchurch City
328600,Aranui,060,Christchurch City
327500,Avondale (Christchurch City),060,Christchurch City
330700,Bromley North,060,Christchurch City
329600,Charleston (Christchurch City),060,Christchurch City
330500,Ensors,060,Christchurch City
329900,Waltham,060,Christchurch City
330900,Opawa,060,Christchurch City
331500,Woolston South,060,Christchurch City
331000,Woolston West,060,Christchurch City
331100,Woolston East,060,Christchurch City
